time,event,detail
2026-02-11T07:02:57Z,policy_refresh,maintenance
2026-02-11T10:55:44Z,scan,legacy app
2026-02-11T08:20:05Z,login,legacy app
2026-02-11T07:40:05Z,scan,scanner
2026-02-11T11:47:05Z,logout,timeout
2026-02-11T09:22:01Z,logout,retry
2026-02-11T10:47:07Z,service_restart,retry
2026-02-11T07:33:04Z,policy_refresh,maintenance
2026-02-11T12:49:56Z,logout,scanner
2026-02-11T11:57:39Z,scan,timeout
2026-02-11T09:07:27Z,login,timeout
2026-02-11T09:14:00Z,policy_refresh,maintenance
2026-02-11T10:45:28Z,logout,normal
2026-02-11T08:16:11Z,query,timeout
2026-02-11T11:22:51Z,policy_refresh,normal
2026-02-11T09:06:09Z,login,maintenance
2026-02-11T08:18:06Z,scan,retry
2026-02-11T11:49:31Z,logout,normal
2026-02-11T07:43:55Z,logout,normal
2026-02-11T10:33:01Z,scan,retry
2026-02-11T11:51:11Z,service_restart,normal
2026-02-11T09:28:04Z,query,normal
2026-02-11T07:51:10Z,logout,retry
2026-02-11T07:09:18Z,query,legacy app
2026-02-11T11:34:35Z,login,scanner
2026-02-11T09:35:11Z,query,scanner
2026-02-11T12:32:11Z,login,scanner
2026-02-11T12:28:32Z,logout,timeout
2026-02-11T08:03:19Z,scan,legacy app
2026-02-11T11:08:55Z,scan,scanner
