ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,history
2026-02-11T08:19:04Z,10.20.44.22,49761,104.244.76.13,443,tcp,ssl,12.112,812,19344,SF,ShADadf
2026-02-11T08:53:03Z,10.20.44.33,49722,172.66.40.33,443,tcp,ssl,932.441,17220,942210,SF,ShADadf
2026-02-11T09:14:50Z,10.20.51.9,53382,45.77.91.12,22,tcp,ssh,1844.232,11920,43328,SF,ShADadf
2026-02-11T11:14:02Z,10.20.44.10,49821,198.51.100.77,443,tcp,ssl,8.002,4880,2111,SF,ShADadf
2026-02-11T10:06:00Z,10.20.44.10,58473,13.107.42.12,53,tcp,smb,6.787,1820,54590,SF,ShADadf
2026-02-11T10:08:00Z,10.20.44.22,55938,151.101.1.69,443,tcp,smb,17.255,2562,15583,SF,ShADadf
2026-02-11T12:52:00Z,10.20.44.33,55599,151.101.1.69,445,tcp,ssl,15.098,3041,70785,SF,ShADadf
2026-02-11T09:47:00Z,10.20.44.10,43006,198.18.20.14,443,tcp,krb,10.781,3304,38447,SF,ShADadf
2026-02-11T12:40:00Z,10.20.51.9,40438,198.18.20.14,445,tcp,ssl,14.365,1545,49381,SF,ShADadf
2026-02-11T10:50:00Z,10.20.44.10,45793,151.101.1.69,53,tcp,ssl,2.363,204,10770,SF,ShADadf
2026-02-11T12:53:00Z,10.20.44.10,52154,198.18.20.14,88,tcp,ssl,9.891,1852,23637,SF,ShADadf
2026-02-11T07:28:00Z,10.20.51.9,59765,10.3.0.1,53,tcp,smb,6.504,1690,15373,SF,ShADadf
2026-02-11T10:11:00Z,10.20.44.10,58158,198.18.20.14,80,tcp,http,17.524,1169,70788,SF,ShADadf
2026-02-11T09:46:00Z,10.20.44.10,43869,151.101.1.69,445,tcp,ssl,10.945,3104,60287,SF,ShADadf
2026-02-11T09:18:00Z,10.20.44.10,53842,198.18.20.14,88,tcp,http,8.265,3826,61939,SF,ShADadf
2026-02-11T09:13:00Z,10.20.44.22,41915,10.3.0.1,443,tcp,smb,16.645,592,20817,SF,ShADadf
