ts,client,query,type,response,rcode,latency_ms
2026-01-18T00:00:00.000Z,LINUX-JUMP-01,registry.npmjs.org,A,13.107.42.14,NOERROR,15
2026-01-18T00:01:31.472Z,BLD-RUN-02,login.microsoftonline.com,A,140.82.112.5,NOERROR,9
2026-01-18T00:03:07.943Z,ENG-MAC-04,cdn.slack.com,A,52.92.128.17,NOERROR,47
2026-01-18T00:04:07.126Z,BLD-RUN-02,registry.npmjs.org,A,74.112.186.55,NOERROR,17
2026-01-18T00:05:52.967Z,FIN-WS22,registry.npmjs.org,A,13.107.42.14,NOERROR,27
2026-01-18T00:06:31.809Z,FIN-WS17,box.com,A,13.107.42.14,NOERROR,19
2026-01-18T00:07:49.384Z,ENG-MAC-04,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,50
2026-01-18T00:08:38.062Z,ENG-MAC-17,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,65
2026-01-18T00:09:14.804Z,FIN-WS17,updates.microsoft.com,A,52.92.128.17,NOERROR,41
2026-01-18T00:10:57.048Z,FIN-WS17,registry.npmjs.org,A,140.82.112.5,NOERROR,67
2026-01-18T00:12:31.870Z,LINUX-JUMP-01,box.com,A,74.112.186.55,NOERROR,51
2026-01-18T00:13:46.932Z,BLD-RUN-02,api.github.com,A,52.92.128.17,NOERROR,9
2026-01-18T00:16:30.429Z,BLD-RUN-02,cdn.slack.com,A,13.107.42.14,NOERROR,57
2026-01-18T00:17:46.377Z,FIN-WS22,login.microsoftonline.com,A,140.82.112.5,NOERROR,31
2026-01-18T00:19:53.081Z,ENG-MAC-04,updates.microsoft.com,A,13.107.42.14,NOERROR,6
2026-01-18T00:22:34.670Z,FIN-WS22,box.com,A,13.107.42.14,NOERROR,45
2026-01-18T00:25:09.576Z,ENG-MAC-17,registry.npmjs.org,A,74.112.186.55,NOERROR,18
2026-01-18T00:27:30.176Z,FIN-WS22,box.com,A,140.82.112.5,NOERROR,55
2026-01-18T00:28:05.978Z,FIN-WS22,registry.npmjs.org,A,140.82.112.5,NOERROR,34
2026-01-18T00:29:29.259Z,ENG-MAC-17,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,30
2026-01-18T00:31:33.136Z,ENG-MAC-04,box.com,A,74.112.186.55,NOERROR,32
2026-01-18T00:33:47.484Z,ENG-MAC-04,box.com,A,74.112.186.55,NOERROR,56
2026-01-18T00:34:38.546Z,BLD-RUN-02,api.github.com,A,52.92.128.17,NOERROR,17
2026-01-18T00:36:55.379Z,BLD-RUN-02,registry.npmjs.org,A,74.112.186.55,NOERROR,30
2026-01-18T00:38:11.565Z,LINUX-JUMP-01,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,5
2026-01-18T00:39:56.453Z,FIN-WS22,login.microsoftonline.com,A,13.107.42.14,NOERROR,36
2026-01-18T00:41:51.913Z,FIN-WS22,cdn.slack.com,A,140.82.112.5,NOERROR,3
2026-01-18T00:44:01.942Z,BLD-RUN-02,api.github.com,A,140.82.112.5,NOERROR,58
2026-01-18T00:45:35.764Z,BLD-RUN-02,cdn.slack.com,A,52.92.128.17,NOERROR,3
2026-01-18T00:48:14.129Z,BLD-RUN-02,registry.npmjs.org,A,74.112.186.55,NOERROR,6
2026-01-18T00:49:15.339Z,FIN-WS17,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,56
2026-01-18T00:51:49.448Z,ENG-MAC-17,login.microsoftonline.com,A,74.112.186.55,NOERROR,64
2026-01-18T00:54:22.065Z,FIN-WS17,box.com,A,13.107.42.14,NOERROR,63
2026-01-18T00:54:58.129Z,FIN-WS22,registry.npmjs.org,A,74.112.186.55,NOERROR,40
2026-01-18T00:56:27.852Z,FIN-WS22,registry.npmjs.org,A,52.92.128.17,NOERROR,39
2026-01-18T00:59:05.377Z,ENG-MAC-04,api.github.com,A,140.82.112.5,NOERROR,6
2026-01-18T00:59:54.208Z,ENG-MAC-04,cdn.slack.com,A,52.92.128.17,NOERROR,38
2026-01-18T01:02:19.042Z,LINUX-JUMP-01,cdn.slack.com,A,74.112.186.55,NOERROR,3
2026-01-18T01:03:47.546Z,FIN-WS22,cdn.slack.com,A,13.107.42.14,NOERROR,62
2026-01-18T01:06:02.063Z,FIN-WS22,box.com,A,13.107.42.14,NOERROR,31
2026-01-18T01:07:26.464Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,39
2026-01-18T01:08:28.645Z,ENG-MAC-04,cdn.slack.com,A,74.112.186.55,NOERROR,68
2026-01-18T01:10:40.810Z,BLD-RUN-02,updates.microsoft.com,A,74.112.186.55,NOERROR,12
2026-01-18T01:12:37.764Z,FIN-WS22,registry.npmjs.org,A,140.82.112.5,NOERROR,32
2026-01-18T01:14:33.283Z,LINUX-JUMP-01,api.github.com,A,74.112.186.55,NOERROR,17
2026-01-18T01:16:05.246Z,ENG-MAC-17,api.github.com,A,52.92.128.17,NOERROR,65
2026-01-18T01:17:14.992Z,BLD-RUN-02,api.github.com,A,140.82.112.5,NOERROR,33
2026-01-18T01:20:07.862Z,BLD-RUN-02,registry.npmjs.org,A,13.107.42.14,NOERROR,14
2026-01-18T01:21:12.105Z,ENG-MAC-04,login.microsoftonline.com,A,140.82.112.5,NOERROR,35
2026-01-18T01:23:33.738Z,ENG-MAC-17,box.com,A,74.112.186.55,NOERROR,60
2026-01-18T01:24:29.273Z,FIN-WS22,updates.microsoft.com,A,52.92.128.17,NOERROR,18
2026-01-18T01:25:59.416Z,ENG-MAC-04,api.github.com,A,13.107.42.14,NOERROR,19
2026-01-18T01:28:07.242Z,BLD-RUN-02,cdn.slack.com,A,13.107.42.14,NOERROR,42
2026-01-18T01:30:54.197Z,FIN-WS17,api.github.com,A,140.82.112.5,NOERROR,45
2026-01-18T01:33:09.772Z,ENG-MAC-04,registry.npmjs.org,A,52.92.128.17,NOERROR,63
2026-01-18T01:35:28.515Z,LINUX-JUMP-01,updates.microsoft.com,A,140.82.112.5,NOERROR,41
2026-01-18T01:36:43.953Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,23
2026-01-18T01:39:29.099Z,LINUX-JUMP-01,box.com,A,74.112.186.55,NOERROR,45
2026-01-18T01:41:26.129Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,62
2026-01-18T01:43:46.122Z,LINUX-JUMP-01,registry.npmjs.org,A,140.82.112.5,NOERROR,32
2026-01-18T01:46:03.108Z,FIN-WS17,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,65
2026-01-18T01:47:55.479Z,ENG-MAC-17,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,28
2026-01-18T01:50:18.103Z,BLD-RUN-02,login.microsoftonline.com,A,13.107.42.14,NOERROR,67
2026-01-18T01:52:24.384Z,ENG-MAC-04,updates.microsoft.com,A,52.92.128.17,NOERROR,43
2026-01-18T01:54:48.091Z,ENG-MAC-17,api.github.com,A,13.107.42.14,NOERROR,9
2026-01-18T01:57:04.614Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,51
2026-01-18T01:57:51.929Z,BLD-RUN-02,cdn.slack.com,A,52.92.128.17,NOERROR,55
2026-01-18T02:00:41.586Z,ENG-MAC-04,cdn.slack.com,A,140.82.112.5,NOERROR,18
2026-01-18T02:01:36.815Z,FIN-WS17,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,61
2026-01-18T02:03:48.065Z,FIN-WS17,api.github.com,A,74.112.186.55,NOERROR,66
2026-01-18T02:05:17.477Z,ENG-MAC-17,cdn.slack.com,A,74.112.186.55,NOERROR,69
2026-01-18T02:06:30.231Z,BLD-RUN-02,cdn.slack.com,A,140.82.112.5,NOERROR,18
2026-01-18T02:08:53.012Z,ENG-MAC-17,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,45
2026-01-18T02:11:25.144Z,ENG-MAC-17,api.github.com,A,140.82.112.5,NOERROR,53
2026-01-18T02:12:48.446Z,ENG-MAC-04,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,24
2026-01-18T02:13:58.917Z,LINUX-JUMP-01,box.com,A,140.82.112.5,NOERROR,63
2026-01-18T02:15:52.164Z,FIN-WS22,updates.microsoft.com,A,13.107.42.14,NOERROR,48
2026-01-18T02:18:43.141Z,BLD-RUN-02,login.microsoftonline.com,A,13.107.42.14,NOERROR,23
2026-01-18T02:21:19.137Z,LINUX-JUMP-01,updates.microsoft.com,A,52.92.128.17,NOERROR,41
2026-01-18T02:22:44.994Z,ENG-MAC-17,updates.microsoft.com,A,140.82.112.5,NOERROR,71
2026-01-18T02:24:58.734Z,ENG-MAC-17,login.microsoftonline.com,A,140.82.112.5,NOERROR,13
2026-01-18T02:25:37.886Z,ENG-MAC-04,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,28
2026-01-18T02:27:02.553Z,LINUX-JUMP-01,api.github.com,A,52.92.128.17,NOERROR,18
2026-01-18T02:29:41.184Z,ENG-MAC-17,box.com,A,52.92.128.17,NOERROR,25
2026-01-18T02:32:32.587Z,LINUX-JUMP-01,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,28
2026-01-18T02:34:38.484Z,ENG-MAC-04,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,22
2026-01-18T02:36:05.853Z,ENG-MAC-17,cdn.slack.com,A,52.92.128.17,NOERROR,28
2026-01-18T02:37:25.626Z,LINUX-JUMP-01,registry.npmjs.org,A,52.92.128.17,NOERROR,30
2026-01-18T02:39:23.723Z,LINUX-JUMP-01,cdn.slack.com,A,140.82.112.5,NOERROR,28
2026-01-18T02:40:16.284Z,LINUX-JUMP-01,cdn.slack.com,A,140.82.112.5,NOERROR,55
2026-01-18T02:41:50.414Z,BLD-RUN-02,api.github.com,A,74.112.186.55,NOERROR,10
2026-01-18T02:43:11.042Z,ENG-MAC-17,login.microsoftonline.com,A,52.92.128.17,NOERROR,17
2026-01-18T02:45:15.735Z,FIN-WS22,box.com,A,52.92.128.17,NOERROR,47
2026-01-18T02:47:14.420Z,ENG-MAC-17,registry.npmjs.org,A,13.107.42.14,NOERROR,16
2026-01-18T02:49:55.025Z,FIN-WS22,login.microsoftonline.com,A,52.92.128.17,NOERROR,22
2026-01-18T02:51:54.993Z,ENG-MAC-04,registry.npmjs.org,A,140.82.112.5,NOERROR,50
2026-01-18T02:52:39.626Z,FIN-WS22,box.com,A,74.112.186.55,NOERROR,63
2026-01-18T02:54:30.510Z,ENG-MAC-04,updates.microsoft.com,A,74.112.186.55,NOERROR,29
2026-01-18T02:56:11.982Z,ENG-MAC-17,updates.microsoft.com,A,52.92.128.17,NOERROR,53
2026-01-18T02:57:59.405Z,BLD-RUN-02,box.com,A,52.92.128.17,NOERROR,46
2026-01-18T03:00:20.862Z,FIN-WS17,registry.npmjs.org,A,13.107.42.14,NOERROR,43
2026-01-18T03:03:01.322Z,LINUX-JUMP-01,api.github.com,A,13.107.42.14,NOERROR,34
2026-01-18T03:04:37.085Z,ENG-MAC-04,cdn.slack.com,A,74.112.186.55,NOERROR,69
2026-01-18T03:05:53.839Z,BLD-RUN-02,cdn.slack.com,A,74.112.186.55,NOERROR,33
2026-01-18T03:07:03.825Z,FIN-WS22,registry.npmjs.org,A,52.92.128.17,NOERROR,42
2026-01-18T03:08:34.505Z,BLD-RUN-02,login.microsoftonline.com,A,13.107.42.14,NOERROR,48
2026-01-18T03:10:45.820Z,LINUX-JUMP-01,api.github.com,A,140.82.112.5,NOERROR,24
2026-01-18T03:11:43.197Z,BLD-RUN-02,registry.npmjs.org,A,74.112.186.55,NOERROR,12
2026-01-18T03:12:19.036Z,FIN-WS22,login.microsoftonline.com,A,74.112.186.55,NOERROR,16
2026-01-18T03:15:08.693Z,FIN-WS22,login.microsoftonline.com,A,13.107.42.14,NOERROR,40
2026-01-18T03:16:59.225Z,LINUX-JUMP-01,updates.microsoft.com,A,74.112.186.55,NOERROR,47
2026-01-18T03:19:06.814Z,ENG-MAC-04,cdn.slack.com,A,52.92.128.17,NOERROR,24
2026-01-18T03:20:39.798Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,67
2026-01-18T03:21:39.583Z,ENG-MAC-04,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,70
2026-01-18T03:23:14.222Z,FIN-WS17,updates.microsoft.com,A,74.112.186.55,NOERROR,27
2026-01-18T03:24:02.155Z,BLD-RUN-02,cdn.slack.com,A,52.92.128.17,NOERROR,62
2026-01-18T03:26:36.153Z,BLD-RUN-02,login.microsoftonline.com,A,13.107.42.14,NOERROR,61
2026-01-18T03:27:45.793Z,ENG-MAC-04,api.github.com,A,140.82.112.5,NOERROR,53
2026-01-18T03:28:44.421Z,FIN-WS17,cdn.slack.com,A,74.112.186.55,NOERROR,21
2026-01-18T03:31:12.553Z,FIN-WS22,updates.microsoft.com,A,13.107.42.14,NOERROR,67
2026-01-18T03:32:55.285Z,LINUX-JUMP-01,updates.microsoft.com,A,52.92.128.17,NOERROR,68
2026-01-18T03:35:44.593Z,BLD-RUN-02,cdn.slack.com,A,140.82.112.5,NOERROR,23
2026-01-18T03:37:28.655Z,ENG-MAC-04,registry.npmjs.org,A,13.107.42.14,NOERROR,42
2026-01-18T03:39:44.699Z,ENG-MAC-04,api.github.com,A,13.107.42.14,NOERROR,31
2026-01-18T03:41:58.768Z,FIN-WS22,registry.npmjs.org,A,74.112.186.55,NOERROR,27
2026-01-18T03:43:43.838Z,ENG-MAC-17,updates.microsoft.com,A,52.92.128.17,NOERROR,9
2026-01-18T03:46:15.786Z,ENG-MAC-17,registry.npmjs.org,A,52.92.128.17,NOERROR,66
2026-01-18T03:47:47.837Z,BLD-RUN-02,box.com,A,52.92.128.17,NOERROR,46
2026-01-18T03:49:08.287Z,LINUX-JUMP-01,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,71
2026-01-18T03:50:12.656Z,ENG-MAC-04,api.github.com,A,52.92.128.17,NOERROR,30
2026-01-18T03:52:25.511Z,ENG-MAC-17,box.com,A,13.107.42.14,NOERROR,24
2026-01-18T03:54:12.864Z,LINUX-JUMP-01,updates.microsoft.com,A,52.92.128.17,NOERROR,17
2026-01-18T03:56:52.740Z,BLD-RUN-02,registry.npmjs.org,A,13.107.42.14,NOERROR,5
2026-01-18T03:58:49.763Z,FIN-WS22,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,31
2026-01-18T03:59:36.225Z,FIN-WS17,registry.npmjs.org,A,74.112.186.55,NOERROR,41
2026-01-18T04:01:15.797Z,FIN-WS17,registry.npmjs.org,A,13.107.42.14,NOERROR,37
2026-01-18T04:03:50.852Z,FIN-WS17,registry.npmjs.org,A,74.112.186.55,NOERROR,35
2026-01-18T04:04:44.444Z,ENG-MAC-04,updates.microsoft.com,A,52.92.128.17,NOERROR,46
2026-01-18T04:07:02.170Z,BLD-RUN-02,cdn.slack.com,A,140.82.112.5,NOERROR,14
2026-01-18T04:08:56.295Z,FIN-WS17,login.microsoftonline.com,A,52.92.128.17,NOERROR,45
2026-01-18T04:10:24.685Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,35
2026-01-18T04:13:01.544Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,21
2026-01-18T04:14:13.409Z,FIN-WS22,box.com,A,140.82.112.5,NOERROR,11
2026-01-18T04:15:08.200Z,BLD-RUN-02,registry.npmjs.org,A,140.82.112.5,NOERROR,23
2026-01-18T04:18:00.699Z,LINUX-JUMP-01,box.com,A,140.82.112.5,NOERROR,21
2026-01-18T04:19:58.048Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,17
2026-01-18T04:21:23.381Z,ENG-MAC-17,registry.npmjs.org,A,52.92.128.17,NOERROR,69
2026-01-18T04:22:25.302Z,FIN-WS17,login.microsoftonline.com,A,74.112.186.55,NOERROR,13
2026-01-18T04:23:56.243Z,FIN-WS17,box.com,A,52.92.128.17,NOERROR,9
2026-01-18T04:24:55.077Z,FIN-WS17,api.github.com,A,74.112.186.55,NOERROR,7
2026-01-18T04:27:00.053Z,BLD-RUN-02,registry.npmjs.org,A,13.107.42.14,NOERROR,63
2026-01-18T04:29:11.773Z,FIN-WS17,registry.npmjs.org,A,13.107.42.14,NOERROR,42
2026-01-18T04:30:30.628Z,ENG-MAC-17,login.microsoftonline.com,A,140.82.112.5,NOERROR,2
2026-01-18T04:32:25.378Z,LINUX-JUMP-01,updates.microsoft.com,A,74.112.186.55,NOERROR,11
2026-01-18T04:35:07.944Z,BLD-RUN-02,box.com,A,52.92.128.17,NOERROR,4
2026-01-18T04:37:12.979Z,BLD-RUN-02,api.github.com,A,13.107.42.14,NOERROR,70
2026-01-18T04:39:41.158Z,FIN-WS17,registry.npmjs.org,A,74.112.186.55,NOERROR,52
2026-01-18T04:40:52.631Z,FIN-WS22,api.github.com,A,52.92.128.17,NOERROR,27
2026-01-18T04:43:19.516Z,ENG-MAC-04,box.com,A,74.112.186.55,NOERROR,10
2026-01-18T04:44:48.616Z,ENG-MAC-04,api.github.com,A,52.92.128.17,NOERROR,54
