UtcTime,Computer,User,EventID,Image,CommandLine,ParentImage,DestinationIp,DestinationPort,Hashes
2026-01-18 00:00:00.000,K8S-PROD-01,a.cho,1,python3,"python3",explorer.exe,,,SHA256=0002dc20da6b32b10002dc20da6b32b10002dc20da6b32b10002dc20da6b32b1
2026-01-18 00:08:43.711,WIN-FS02,r.singh,1,chrome.exe,"chrome.exe",cmd.exe,,,SHA256=0009cb5af7dd2b2c0009cb5af7dd2b2c0009cb5af7dd2b2c0009cb5af7dd2b2c
2026-01-18 00:11:56.049,WIN-ITADMIN-03,svc_backup,1,python3,"python3",systemd,,,SHA256=000975274b3ea62d000975274b3ea62d000975274b3ea62d000975274b3ea62d
2026-01-18 00:22:44.079,WIN-ITADMIN-03,a.cho,1,node,"node",cmd.exe,,,SHA256=0001836b1d8d8d4c0001836b1d8d8d4c0001836b1d8d8d4c0001836b1d8d8d4c
2026-01-18 00:28:36.616,LINUX-BUILD-01,r.singh,1,sshd,"sshd",cmd.exe,,,SHA256=00113ae4c5cc757300113ae4c5cc757300113ae4c5cc757300113ae4c5cc7573
2026-01-18 00:39:30.496,WIN-FS02,svc-export,1,outlook.exe,"outlook.exe",explorer.exe,,,SHA256=00059a03d4a769e900059a03d4a769e900059a03d4a769e900059a03d4a769e9
2026-01-18 00:43:00.307,LINUX-BUILD-01,a.cho,1,slack.exe,"slack.exe",explorer.exe,,,SHA256=0014d2841e3303a70014d2841e3303a70014d2841e3303a70014d2841e3303a7
2026-01-18 00:53:09.843,LINUX-ESXI-MGMT,svc-build,1,chrome.exe,"chrome.exe",launchd,,,SHA256=001df90e955c2ab8001df90e955c2ab8001df90e955c2ab8001df90e955c2ab8
2026-01-18 01:00:47.295,WIN-ITADMIN-03,svc_backup,1,node,"node",explorer.exe,,,SHA256=0010eae38c2442cb0010eae38c2442cb0010eae38c2442cb0010eae38c2442cb
2026-01-18 01:07:50.279,K8S-PROD-01,svc-export,1,git,"git",explorer.exe,,,SHA256=000ba5424d91bd46000ba5424d91bd46000ba5424d91bd46000ba5424d91bd46
2026-01-18 01:15:15.040,LINUX-BUILD-01,svc-export,1,powershell.exe,"powershell.exe",explorer.exe,,,SHA256=00125ae96b06ea7d00125ae96b06ea7d00125ae96b06ea7d00125ae96b06ea7d
2026-01-18 01:23:59.316,LINUX-BUILD-01,svc-build,1,slack.exe,"slack.exe",explorer.exe,,,SHA256=0021e91c7bf9b8d20021e91c7bf9b8d20021e91c7bf9b8d20021e91c7bf9b8d2
2026-01-18 01:28:21.711,LINUX-BUILD-01,svc-build,1,node,"node",cmd.exe,,,SHA256=0007ea6cc2ceabf00007ea6cc2ceabf00007ea6cc2ceabf00007ea6cc2ceabf0
2026-01-18 01:39:22.227,WIN-ACCT-WS22,a.cho,1,node,"node",systemd,,,SHA256=0016254815b107650016254815b107650016254815b107650016254815b10765
2026-01-18 01:49:37.737,WIN-ACCT-WS22,svc-build,1,python3,"python3",launchd,,,SHA256=00162cece879bf2f00162cece879bf2f00162cece879bf2f00162cece879bf2f
2026-01-18 02:00:20.279,WIN-ITADMIN-03,svc-export,1,powershell.exe,"powershell.exe",launchd,,,SHA256=00014c38bd278e3300014c38bd278e3300014c38bd278e3300014c38bd278e33
2026-01-18 02:10:31.535,WIN-ITADMIN-03,svc-export,1,python3,"python3",systemd,,,SHA256=001fcedb94c36590001fcedb94c36590001fcedb94c36590001fcedb94c36590
2026-01-18 02:19:28.911,WIN-ITADMIN-03,j.duran,1,python3,"python3",systemd,,,SHA256=00116b74fac7913800116b74fac7913800116b74fac7913800116b74fac79138
2026-01-18 02:22:51.099,WIN-ACCT-WS22,iam.automation,1,outlook.exe,"outlook.exe",systemd,,,SHA256=000422ea269f3d75000422ea269f3d75000422ea269f3d75000422ea269f3d75
2026-01-18 02:33:26.597,WIN-FS02,svc-build,1,outlook.exe,"outlook.exe",launchd,,,SHA256=0006ec072ba5ce0d0006ec072ba5ce0d0006ec072ba5ce0d0006ec072ba5ce0d
2026-01-18 02:44:28.766,LINUX-BUILD-01,svc-export,1,sshd,"sshd",systemd,,,SHA256=0009b652d6b283480009b652d6b283480009b652d6b283480009b652d6b28348
2026-01-18 02:54:05.767,WIN-ACCT-WS22,a.cho,1,node,"node",launchd,,,SHA256=000caa20c5b68a0b000caa20c5b68a0b000caa20c5b68a0b000caa20c5b68a0b
2026-01-18 03:00:32.066,WIN-FS02,svc-export,1,chrome.exe,"chrome.exe",explorer.exe,,,SHA256=001e6b249e6a9bb8001e6b249e6a9bb8001e6b249e6a9bb8001e6b249e6a9bb8
2026-01-18 03:07:07.766,WIN-ACCT-WS22,r.singh,1,git,"git",launchd,,,SHA256=0012076a34d40fa20012076a34d40fa20012076a34d40fa20012076a34d40fa2
2026-01-18 03:10:09.230,LINUX-BUILD-01,a.cho,1,sshd,"sshd",cmd.exe,,,SHA256=0017a7021b19832f0017a7021b19832f0017a7021b19832f0017a7021b19832f
2026-01-18 03:17:24.479,K8S-PROD-01,svc-build,1,powershell.exe,"powershell.exe",explorer.exe,,,SHA256=001d0532c67956f9001d0532c67956f9001d0532c67956f9001d0532c67956f9
2026-01-18 03:25:33.523,WIN-ITADMIN-03,svc-build,1,outlook.exe,"outlook.exe",launchd,,,SHA256=00186daab6dafe9500186daab6dafe9500186daab6dafe9500186daab6dafe95
2026-01-18 03:33:19.864,LINUX-ESXI-MGMT,svc_backup,1,node,"node",systemd,,,SHA256=000d0bfa0d26d5c8000d0bfa0d26d5c8000d0bfa0d26d5c8000d0bfa0d26d5c8
2026-01-18 03:44:16.220,WIN-ACCT-WS22,svc-build,1,git,"git",cmd.exe,,,SHA256=0005127d1d73a94a0005127d1d73a94a0005127d1d73a94a0005127d1d73a94a
2026-01-18 03:54:45.251,WIN-FS02,svc-build,1,outlook.exe,"outlook.exe",systemd,,,SHA256=001672797b6bb274001672797b6bb274001672797b6bb274001672797b6bb274
2026-01-18 03:58:53.640,WIN-ITADMIN-03,svc-build,1,git,"git",explorer.exe,,,SHA256=0002a6b439e13c600002a6b439e13c600002a6b439e13c600002a6b439e13c60
2026-01-18 04:06:52.910,WIN-ACCT-WS22,a.cho,1,git,"git",launchd,,,SHA256=001698498826d66b001698498826d66b001698498826d66b001698498826d66b
2026-01-18 04:12:59.303,WIN-ITADMIN-03,svc-build,1,sshd,"sshd",explorer.exe,,,SHA256=0002e265ec66ab170002e265ec66ab170002e265ec66ab170002e265ec66ab17
2026-01-18 04:23:52.997,K8S-PROD-01,r.singh,1,node,"node",cmd.exe,,,SHA256=00131a6362219bc000131a6362219bc000131a6362219bc000131a6362219bc0
2026-01-18 04:30:07.884,WIN-ITADMIN-03,svc_backup,1,slack.exe,"slack.exe",systemd,,,SHA256=0001dca69e68f09d0001dca69e68f09d0001dca69e68f09d0001dca69e68f09d
2026-01-18 04:37:49.627,LINUX-ESXI-MGMT,svc-export,1,git,"git",launchd,,,SHA256=0015b913bc7812080015b913bc7812080015b913bc7812080015b913bc781208
2026-01-18 04:40:23.278,WIN-ITADMIN-03,j.duran,1,slack.exe,"slack.exe",launchd,,,SHA256=0000c4f32a0eab050000c4f32a0eab050000c4f32a0eab050000c4f32a0eab05
2026-01-18 04:48:52.434,WIN-FS02,j.duran,1,sshd,"sshd",launchd,,,SHA256=001ee5bbb4c51676001ee5bbb4c51676001ee5bbb4c51676001ee5bbb4c51676
2026-01-18 04:53:58.684,WIN-ACCT-WS22,svc_backup,1,python3,"python3",explorer.exe,,,SHA256=00117045154ddf8700117045154ddf8700117045154ddf8700117045154ddf87
2026-01-18 04:56:30.615,LINUX-ESXI-MGMT,svc_backup,1,node,"node",systemd,,,SHA256=001ca6cad172bb34001ca6cad172bb34001ca6cad172bb34001ca6cad172bb34
2026-01-18 05:04:02.294,WIN-ACCT-WS22,svc_backup,1,git,"git",explorer.exe,,,SHA256=001dcb358d3e83f8001dcb358d3e83f8001dcb358d3e83f8001dcb358d3e83f8
2026-01-18 05:07:57.078,WIN-FS02,svc-build,1,powershell.exe,"powershell.exe",cmd.exe,,,SHA256=00236ffe9201ba0200236ffe9201ba0200236ffe9201ba0200236ffe9201ba02
2026-01-18 05:10:57.742,WIN-ACCT-WS22,svc-build,1,node,"node",systemd,,,SHA256=0017d4f138bfa98b0017d4f138bfa98b0017d4f138bfa98b0017d4f138bfa98b
2026-01-18 05:21:40.926,WIN-ACCT-WS22,iam.automation,1,slack.exe,"slack.exe",launchd,,,SHA256=0013371d2902ee150013371d2902ee150013371d2902ee150013371d2902ee15
2026-01-18 05:27:54.124,WIN-ITADMIN-03,j.duran,1,chrome.exe,"chrome.exe",explorer.exe,,,SHA256=0007e9f5a7a464c70007e9f5a7a464c70007e9f5a7a464c70007e9f5a7a464c7
